,Generation,bbiomass,Tbbray,PTBbray,TFbray,PTFbray,sbcore,pbcore,snbcore,pnbcore,sfcore,pfcore,snfcore,pnfcore
53,2,-0.006472514,0.410046477,0.444376356,0.766285805,0.647911623,0.315639883,0.290231107,0.343550479,0.280157878,0.630472305,0.431768746,0.780101229,0.751338451
54,2,-0.311622281,0.525445912,0.449694445,0.631975785,0.676146889,0.405417328,0.296530192,0.392484836,0.263904713,0.688407931,0.74310038,0.671077978,0.758627378
55,2,-0.172051889,0.398599816,0.442753623,0.597040305,0.602610408,0.265666446,0.290937106,0.339884244,0.257629473,0.53667854,0.490723089,0.501844133,0.774284144
56,2,-0.101782693,0.520978834,0.411829376,0.545647986,0.541192247,0.418473823,0.242173736,0.359346953,0.331984674,0.6385502,0.56956477,0.630514999,0.606293142
57,2,-0.035892922,0.363254089,0.41792025,0.560576588,0.647073955,0.224725689,0.270033763,0.362444526,0.271347539,0.460366842,0.593575811,0.761822182,0.53041451
58,2,0.080042707,0.276408294,0.413972501,0.620998573,0.642841549,0.121938252,0.293778964,0.429199286,0.319211283,0.224988642,0.464552122,0.378602031,0.575546795
59,2,0.082996919,0.275232636,0.351307031,0.622112717,0.592384857,0.108200371,0.172338622,0.453259889,0.294074698,0.517239413,0.442554278,0.53235991,0.685330461
60,2,0.022187915,0.300510576,0.428988895,0.575461248,0.564814614,0.160276737,0.266236021,0.468503563,0.375841023,0.497907052,0.55023949,0.583898021,0.724888421
61,2,-0.012903406,0.321759048,0.444376356,0.661966458,0.629539219,0.189125062,0.290231107,0.500188258,0.280744337,0.616841467,0.627791774,0.54423512,0.679182269
62,2,-0.318053171,0.489560009,0.449694445,0.558603924,0.658936686,0.353745783,0.296530192,0.535523159,0.247118289,0.604189396,0.627791774,0.67975054,0.736009985
63,2,-0.178482781,0.324035383,0.442753623,0.528145616,0.766169083,0.167071069,0.290937106,0.497237735,0.309544846,0.589188691,0.60505403,0.638091949,0.671102595
64,2,-0.108213585,0.513590001,0.411829376,0.332366978,0.573654932,0.396910933,0.242173736,0.499085614,0.233546409,0.544491462,0.60505403,0.646306101,0.672332553
65,3,0.024256979,0.405444126,0.847239748,0.717360061,0.46517239,0.37869079,0.553868552,0.323363366,0.515452859,0.593656818,0.709070564,0.884882641,0.674853315
66,3,0.013303966,0.464787565,0.732185621,0.736095183,0.476233184,0.297529898,0.560676873,0.330800537,0.563511484,0.439636521,0.696914006,0.448199981,0.713440297
67,3,0.010953013,0.421701738,0.834850432,0.815133865,0.665136143,0.34825378,0.583698145,0.351638685,0.493569087,0.633042596,0.757705759,0.714672662,0.594251386
68,3,0.002229655,0.475515695,0.721623924,0.783575781,0.511897318,0.21267136,0.57092942,0.251058807,0.552890059,0.589705685,0.698536452,0.861948058,0.678026262
69,3,0,0.440815036,0.709332005,0.659306381,0.684877151,0.25772353,0.592375209,0.385822347,0.542804855,0.281199103,0.670358387,0.857577683,0.66254547
70,3,-0.011074311,0.483471522,0.696064419,0.688628424,0.685577424,0.232704403,0.604502251,0.273409091,0.52971662,0.484086039,0.759095921,0.806798313,0.618450859
71,3,-0.025807885,0.432353475,0.833711863,0.633812218,0.624513068,0.328001896,0.545275092,0.348267175,0.496395118,0.724758215,0.738891998,0.559988282,0.707428034
72,3,-0.036760895,0.448819839,0.71453525,0.683683651,0.628205128,0.255661028,0.54984326,0.328908058,0.547792916,0.364037056,0.740348767,0.795114524,0.712113861
73,3,-0.047835206,0.498511672,0.698495023,0.809591067,0.647526024,0.24334091,0.563402889,0.26888975,0.538087981,0.765550723,0.757928874,0.553919336,0.709315699
74,3,-0.055098681,0.424710425,0.829380933,0.71469253,0.729511007,0.459683271,0.544957983,0.402845161,0.451790414,0.488898958,0.803486052,0.683887811,0.789579025
75,3,-0.059213914,0.430397247,0.834533689,0.814719354,0.669204641,0.446611991,0.573570299,0.377831464,0.456090878,0.678542193,0.671057839,0.781130275,0.414853801
