,Time,Treatment,Treat,Feedback
13,2,MN,MN2,0.273969811
21,2,MN,MN2,0.276924022
26,2,MN,MN2,0.284552179
10,2,MN,MN2,0.342406972
18,2,MN,MN2,0.345361184
65,2,MB,MB2,0.072320662
66,2,MB,MB2,0.226471341
67,2,MB,MB2,0.020134908
68,2,MB,MB2,0.044149785
69,2,MB,MB2,0.15803418
70,2,MB,MB2,0.104991444
71,2,MB,MB2,-0.029462033
72,2,MB,MB2,-0.035892923
73,2,MB,MB2,0.149035579
74,2,MB,MB2,0.303186259
75,2,MB,MB2,0.096849826
76,2,MB,MB2,0.120864702
77,2,MB,MB2,0.234749097
78,2,MB,MB2,0.181706361
79,2,MB,MB2,0.047252885
80,2,MB,MB2,0.040821995
81,2,MB,MB2,-0.133531393
82,2,MB,MB2,0.020619287
83,2,MB,MB2,-0.185717146
84,2,MB,MB2,-0.16170227
85,2,MB,MB2,-0.047817874
86,2,MB,MB2,-0.10086061
87,2,MB,MB2,-0.235314087
88,2,MB,MB2,-0.241744977
89,2,MB,MB2,0.098551674
90,2,MB,MB2,0.252702354
91,2,MB,MB2,0.046365921
92,2,MB,MB2,0.070380797
93,2,MB,MB2,0.184265192
94,2,MB,MB2,0.131222456
95,2,MB,MB2,-0.003231021
96,2,MB,MB2,-0.009661911
97,2,MB,MB2,0.26510775
98,2,MB,MB2,0.41925843
99,2,MB,MB2,0.212921997
100,2,MB,MB2,0.236936873
101,2,MB,MB2,0.350821269
102,2,MB,MB2,0.297778533
103,2,MB,MB2,0.163325056
104,2,MB,MB2,0.156894166
105,2,MB,MB2,0.09531018
106,2,MB,MB2,0.24946086
107,2,MB,MB2,0.043124427
108,2,MB,MB2,0.067139303
109,2,MB,MB2,0.181023698
110,2,MB,MB2,0.127980962
111,2,MB,MB2,-0.006472515
112,2,MB,MB2,-0.012903405
113,2,MB,MB2,0.03509132
114,2,MB,MB2,0.189242
115,2,MB,MB2,-0.017094433
116,2,MB,MB2,0.006920443
117,2,MB,MB2,0.120804838
118,2,MB,MB2,0.067762102
119,2,MB,MB2,-0.066691374
120,2,MB,MB2,-0.073122265
121,2,MB,MB2,0.09531018
122,2,MB,MB2,0.24946086
123,2,MB,MB2,0.043124427
124,2,MB,MB2,0.067139303
125,2,MB,MB2,0.181023698
126,2,MB,MB2,0.127980962
127,2,MB,MB2,-0.006472515
